epoch,train_loss,train_acc,val_loss,val_acc,best_acc
1,0.624942,0.646217,0.555655,0.81,0.81
2,0.472753,0.903885,0.461748,0.845,0.845
3,0.382699,0.937628,0.382231,0.8775,0.8775
4,0.331698,0.941718,0.346849,0.8875,0.8875
5,0.303489,0.939673,0.345085,0.8825,0.8875
6,0.272937,0.948875,0.300933,0.8775,0.8875
7,0.246197,0.949898,0.286927,0.885,0.8875
8,0.232508,0.949898,0.291677,0.8775,0.8875
9,0.233678,0.944785,0.286711,0.8875,0.8875
10,0.203851,0.95092,0.277189,0.8825,0.8875
11,0.190744,0.956033,0.27865,0.8875,0.8875
12,0.199756,0.931493,0.27076,0.885,0.8875
13,0.176051,0.9591,0.282387,0.885,0.8875
14,0.19191,0.945808,0.2669,0.8825,0.8875
